District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Prospect Hill Academy Charter (District),04870000,        69,    95.7,     2.9,     0.0,     0.0,     1.4,     0.0
Quabbin,07530000,       161,    82.6,     6.2,     0.0,     0.6,    10.6,     0.0
Quaboag Regional,07780000,       103,    93.2,     1.9,     1.0,     1.0,     2.9,     0.0
Quincy,02430000,       748,    91.8,     3.1,     1.6,     0.0,     3.5,     0.0
Ralph C Mahar,07550000,       160,    89.4,     3.1,     0.0,     1.3,     6.3,     0.0
Randolph,02440000,       175,    75.4,    14.9,     1.7,     0.6,     7.4,     0.0
Reading,02460000,       336,    96.7,     2.7,     0.6,     0.0,     0.0,     0.0
Revere,02480000,       553,    78.5,     7.4,     2.2,     0.9,    11.0,     0.0
Rising Tide Charter Public (District),04830000,        64,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Rockland,02510000,       128,    88.3,     5.5,     0.0,     0.8,     5.5,     0.0
Rockport,02520000,        84,    97.6,     0.0,     0.0,     0.0,     2.4,     0.0
Roxbury Preparatory Charter (District),04840000,        78,    88.5,     9.0,     1.3,     0.0,     1.3,     0.0
Sabis International Charter (District),04410000,       110,    98.2,     0.0,     0.0,     0.0,     1.8,     0.0
Salem,02580000,       277,    80.5,     7.6,     5.4,     0.0,     6.5,     0.0
Salem Academy Charter (District),04850000,        49,    95.9,     2.0,     0.0,     0.0,     2.0,     0.0
Sandwich,02610000,       170,    92.9,     4.7,     1.2,     0.6,     0.6,     0.0
Saugus,02620000,       189,    84.1,     4.2,     2.6,     1.6,     7.4,     0.0
Scituate,02640000,       217,    94.5,     3.2,     0.0,     0.0,     2.3,     0.0
Seekonk,02650000,       158,    98.1,     1.3,     0.0,     0.0,     0.6,     0.0
Sharon,02660000,       292,    96.9,     2.1,     0.3,     0.3,     0.3,     0.0
Shawsheen Valley Regional Vocational Technical,08710000,       311,    97.1,     1.9,     0.0,     0.3,     0.6,     0.0
Shrewsbury,02710000,       446,    95.7,     2.5,     0.0,     0.4,     1.3,     0.0
Silver Lake,07600000,       260,    96.5,     0.4,     0.8,     0.4,     1.9,     0.0
Sizer School: A North Central Charter Essential (District),04740000,        34,    91.2,     5.9,     0.0,     0.0,     2.9,     0.0
Somerset Berkley Regional School District,07630000,       263,    95.1,     2.7,     0.4,     0.0,     1.9,     0.0
Somerville,02740000,       341,    85.0,     7.6,     1.8,     0.3,     5.3,     0.0
South Hadley,02780000,       127,    96.1,     2.4,     0.0,     0.0,     1.6,     0.0
South Middlesex Regional Vocational Technical,08290000,       155,    96.1,     1.9,     0.0,     0.0,     1.9,     0.0
South Shore Charter Public (District),04880000,        63,    93.7,     3.2,     0.0,     0.0,     3.2,     0.0
South Shore Regional Vocational Technical,08730000,       157,    96.8,     1.9,     0.0,     0.0,     1.3,     0.0
Southbridge,02770000,       136,    70.6,     9.6,     6.6,     0.0,    13.2,     0.0
