District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Hampden Charter School of Science West (District),35160000,  95.6,   4.8,  12.0,   9.1,   2.5
Hampden-Wilbraham,06800000,  95.6,   4.8,  11.8,   7.1,   7.6
Hampshire,06830000,  94.2,   6.1,  19.1,  16.1,   0.0
Hancock,01210000,  95.7,   4.7,  14.3,  14.3,   0.0
Hanover,01220000,  95.5,   4.8,  10.5,   8.1,   6.1
Harvard,01250000,  95.9,   4.4,   8.8,   7.6,   0.0
Hatfield,01270000,  95.6,   4.8,   9.3,   6.8,   0.0
Haverhill,01280000,  93.6,   6.8,  21.5,  19.3,  16.3
Hawlemont,06850000,  95.4,   4.9,  13.7,  11.6,  13.7
Helen Y. Davis Leadership Academy Charter Public (District),04190000,  95.8,   4.5,  13.1,   9.5,   0.0
Hill View Montessori Charter Public (District),04550000,  95.4,   4.8,  12.0,  10.7,   3.5
Hilltown Cooperative Charter Public (District),04500000,  95.6,   4.7,  10.5,   8.2,   0.0
Hingham,01310000,  95.9,   4.5,   9.8,   5.8,   2.6
Holbrook,01330000,  95.9,   4.5,  11.9,   7.8,   4.9
Holland,01350000,  96.0,   4.2,   6.3,   6.3,   6.3
Holliston,01360000,  95.8,   4.6,  11.5,   9.0,   0.0
Holyoke,01370000,  92.3,   7.9,  25.4,  23.7,  16.7
Holyoke Community Charter (District),04530000,  95.3,   5.2,  13.8,   8.1,   2.5
Hoosac Valley Regional,06030000,  94.5,   6.0,  18.3,  13.1,   0.1
Hopedale,01380000,  96.2,   4.1,   7.6,   6.5,   3.8
Hopkinton,01390000,  95.9,   4.5,   9.9,   7.8,   0.0
Hudson,01410000,  94.9,   5.5,  15.1,  12.9,   6.4
Hull,01420000,  94.2,   6.2,  17.2,  14.0,  11.2
Innovation Academy Charter (District),04350000,  95.1,   5.4,  13.7,   9.0,   3.6
Ipswich,01440000,  96.1,   4.2,   7.4,   6.0,   1.2
KIPP Academy Boston Charter School (District),04630000,  94.7,   5.9,  18.8,  16.7,  15.5
KIPP Academy Lynn Charter (District),04290000,  95.3,   5.4,  15.0,  10.8,   5.8
King Philip,06900000,  95.5,   4.9,  12.5,  10.1,   8.1
Kingston,01450000,  95.7,   4.6,   9.3,   6.9,   1.3
Lawrence,01490000,  93.4,   7.0,  21.5,  19.6,   0.0
Lawrence Family Development Charter (District),04540000,  97.8,   2.4,   2.7,   1.8,   0.6
Lee,01500000,  94.9,   5.5,  16.9,  12.8,   1.1
Leicester,01510000,  95.2,   5.1,  12.9,   9.7,   0.0
Lenox,01520000,  95.3,   5.1,  14.2,  12.1,   0.5
Leominster,01530000,  95.0,   5.4,  16.2,  14.2,  11.4
Leverett,01540000,  95.6,   4.7,  11.2,   9.1,   0.0
Lexington,01550000,  96.6,   3.6,   7.0,   5.7,   1.5
Libertas Academy Charter School (District),35140000,  95.0,   5.3,  14.5,  12.7,   0.0
Lincoln,01570000,  95.4,   4.9,  12.9,   9.7,   3.0
Lincoln-Sudbury,06950000,  96.6,   3.7,   7.3,   6.1,   0.4
Littleton,01580000,  95.8,   4.4,   9.3,   7.9,   0.5
Longmeadow,01590000,  95.8,   4.5,   9.9,   7.8,   0.1
Lowell,01600000,  94.0,   6.4,  19.5,  17.4,  11.9
Lowell Community Charter Public (District),04560000,  96.3,   4.1,  11.0,   7.1,   3.7
Lowell Middlesex Academy Charter (District),04580000,  53.5,  39.7,  89.2,  91.7,   0.0
Ludlow,01610000,  95.3,   5.2,  12.6,   8.8,   6.8
Lunenburg,01620000,  95.7,   4.6,  10.9,   8.4,   0.0
Lynn,01630000,  94.3,   5.9,  18.6,  16.9,   0.0
Lynnfield,01640000,  96.4,   3.9,   6.9,   5.3,   2.6
MATCH Charter Public School (District),04690000,  94.4,   6.1,  18.7,  13.5,   0.0
Ma Academy for Math and Science,04680000,  99.4,   0.8,   1.0,   0.0,   1.0
Malden,01650000,  94.2,   6.2,  18.9,  15.6,  14.2
Manchester Essex Regional,06980000,  95.4,   5.1,  12.6,   8.2,   1.8
Mansfield,01670000,  95.6,   4.7,  10.7,   9.7,   4.1
Map Academy Charter School (District),35170000,  65.4,  36.8,  76.4,  77.6,   0.0
Marblehead,01680000,  95.7,   4.6,   9.9,   8.0,   1.0
Marblehead Community Charter Public (District),04640000,  94.8,   5.8,  11.8,   9.4,   0.0
Marion,01690000,  96.8,   3.2,   3.8,   4.4,   2.0
Marlborough,01700000,  94.2,   6.0,  18.1,  16.8,  11.7
Marshfield,01710000,  95.9,   4.4,   8.5,   6.6,   3.5
Martha's Vineyard,07000000,  94.0,   6.3,  16.2,  15.2,   0.1
Martha's Vineyard Charter (District),04660000,  92.8,   7.5,  26.1,  25.6,   0.0
Martin Luther King Jr. Charter School of Excellence (District),04920000,  95.7,   4.8,  12.7,   7.2,   0.0
Masconomet,07050000,  95.8,   4.5,   9.9,   8.2,   2.7
Mashpee,01720000,  94.7,   5.7,  17.4,  14.5,   2.2
Mattapoisett,01730000,  96.9,   3.4,   6.2,   5.8,   4.0
Maynard,01740000,  93.8,   6.7,  16.8,  14.4,   9.8
Medfield,01750000,  96.4,   4.0,   6.7,   4.3,   1.7
Medford,01760000,  95.1,   5.4,  15.0,  11.2,  10.2
Medway,01770000,  96.5,   3.7,   6.9,   5.3,   3.3
Melrose,01780000,  96.0,   4.5,  10.5,   6.9,   5.4
Mendon-Upton,07100000,  95.0,   5.4,  14.5,  10.6,   0.0
Methuen,01810000,  94.4,   5.9,  17.2,  15.1,  10.6
Middleborough,01820000,  94.5,   5.9,  15.7,  13.7,   9.0
Middleton,01840000,  95.9,   4.6,   8.3,   4.5,   7.2
Milford,01850000,  94.3,   5.9,  17.5,  16.5,  12.1
Millbury,01860000,  95.6,   4.8,  11.7,   9.4,   5.8
Millis,01870000,  95.8,   4.6,   9.6,   7.6,   0.0
Milton,01890000,  96.4,   3.9,   7.2,   5.6,   3.0
Minuteman Regional Vocational Technical,08300000,  94.6,   5.8,  16.1,  13.5,   4.3
